time_mandante,time_visitante,proporcao_sucesso_mandante,proporcao_sucesso_visitante,gols_mandante,gols_visitante
Panathinaikos Atenas,Rosenborg BK,1.84,1.45,2,1
Panathinaikos Atenas,PSV Eindhoven,1.84,1.6,4,1
AS Roma,Bayer 04 Leverkusen,2.07,1.6,1,1
AS Roma,Real Madrid CF,2.07,2.01,0,3
AS Roma,Dínamo Kiev,2.07,1.93,0,3
AFC Ajax,Juventus FC,1.48,1.85,0,1
AFC Ajax,Maccabi Tel Aviv,1.48,2.25,3,0
AFC Ajax,FC Bayern Munique,1.48,1.93,2,2
Dínamo Kiev,AS Roma,1.93,2.07,2,0
Dínamo Kiev,Bayer 04 Leverkusen,1.93,1.6,4,2
Dínamo Kiev,Real Madrid CF,1.93,2.01,2,2
FC Internazionale,AC Milan,1.92,1.54,0,3
FC Internazionale,RSC Anderlecht,1.92,1.74,3,0
FC Internazionale,Werder Bremen,1.92,1.72,2,0
FC Internazionale,Futebol Clube do Porto,1.92,2.02,3,1
FC Internazionale,Valência CF,1.92,1.41,0,0
Celtic FC,Shakhtar Donetsk,1.77,,1,0
Celtic FC,AC Milan,1.77,1.54,0,0
Celtic FC,FC Barcelona,1.77,2.14,1,3
Real Madrid CF,Bayer 04 Leverkusen,2.01,1.6,1,1
Real Madrid CF,AS Roma,2.01,2.07,4,2
Real Madrid CF,Dínamo Kiev,2.01,1.93,1,0
Real Madrid CF,Juventus FC,2.01,1.85,1,0
Olympiacos Pireu,FC Liverpool,1.53,1.87,1,0
Olympiacos Pireu,AS Mônaco,1.53,1.79,1,0
Olympiacos Pireu,RC Deportivo de Corunha,1.53,1.59,1,0
CSKA Moscovo,Chelsea FC,1.7,1.68,0,1
CSKA Moscovo,Futebol Clube do Porto,1.7,2.02,0,1
CSKA Moscovo,FC Paris Saint-Germain,1.7,1.96,2,0
Chelsea FC,Futebol Clube do Porto,1.68,2.02,3,1
Chelsea FC,FC Liverpool,1.68,1.87,0,0
Chelsea FC,FC Barcelona,1.68,2.14,4,2
Chelsea FC,FC Paris Saint-Germain,1.68,1.96,0,0
Chelsea FC,CSKA Moscovo,1.68,1.7,2,0
Chelsea FC,FC Bayern Munique,1.68,1.93,4,2
Futebol Clube do Porto,Chelsea FC,2.02,1.68,2,1
Futebol Clube do Porto,FC Paris Saint-Germain,2.02,1.96,0,0
Futebol Clube do Porto,CSKA Moscovo,2.02,1.7,0,0
Futebol Clube do Porto,FC Internazionale,2.02,1.92,1,1
Juventus FC,AFC Ajax,1.85,1.48,1,0
Juventus FC,Real Madrid CF,1.85,2.01,2,0
Juventus FC,FC Bayern Munique,1.85,1.93,1,0
Juventus FC,FC Liverpool,1.85,1.87,0,0
Juventus FC,Maccabi Tel Aviv,1.85,2.25,1,0
FC Barcelona,Chelsea FC,2.14,1.68,1,1
FC Barcelona,Werder Bremen,2.14,1.72,3,1
FC Barcelona,Udinese Calcio,2.14,1.57,4,1
FC Barcelona,Sport Lisboa e Benfica,2.14,1.92,2,0
FC Barcelona,Panathinaikos Atenas,2.14,1.84,5,0
FC Barcelona,AC Milan,2.14,1.54,0,0
FC Barcelona,FC Arsenal,2.14,1.94,2,1
FC Villarreal,FC Arsenal,1.55,1.94,0,0
FC Villarreal,Rangers FC,1.55,1.85,1,1
FC Villarreal,Sport Lisboa e Benfica,1.55,1.92,1,1
FC Villarreal,Manchester United FC,1.55,2.09,0,0
FC Villarreal,FC Internazionale,1.55,1.92,1,0
FC Villarreal,LOSC Lille,1.55,1.93,1,0
Werder Bremen,Juventus FC,1.72,1.85,3,2
Werder Bremen,FC Barcelona,1.72,2.14,0,2
Werder Bremen,Udinese Calcio,1.72,1.57,4,3
Werder Bremen,Panathinaikos Atenas,1.72,1.84,5,1
PSV Eindhoven,AC Milan,1.6,1.54,1,0
PSV Eindhoven,Schalke 04,1.6,2.04,1,0
PSV Eindhoven,Fenerbahce,1.6,1.69,2,0
PSV Eindhoven,Olympique Lyon,1.6,1.71,0,1
Club Brugge,FC Bayern Munique,1.69,1.93,1,1
Club Brugge,Juventus FC,1.69,1.85,1,2
Club Brugge,Rapid de Viena,1.69,1.72,3,2
AC Sparta Praga,AFC Ajax,1.9,1.48,1,1
AC Sparta Praga,FC Arsenal,1.9,1.94,0,2
AC Sparta Praga,FC Thun,1.9,1.4,0,0
RSC Anderlecht,FC Liverpool,1.74,1.87,0,1
RSC Anderlecht,Real Bétis,1.74,1.69,0,1
RSC Anderlecht,Chelsea FC,1.74,1.68,0,2
Manchester United FC,FC Villarreal,2.09,1.55,0,0
Manchester United FC,LOSC Lille,2.09,1.93,0,0
Manchester United FC,Sport Lisboa e Benfica,2.09,1.92,2,1
Olympique Lyon,Olympiacos Pireu,1.71,1.53,2,1
Olympique Lyon,AC Milan,1.71,1.54,0,0
Olympique Lyon,PSV Eindhoven,1.71,1.6,4,0
Olympique Lyon,Rosenborg BK,1.71,1.45,2,1
Olympique Lyon,Real Madrid CF,1.71,2.01,3,0
FC Artmedia Bratislava,Rangers FC,1.5,1.85,2,2
FC Artmedia Bratislava,FC Internazionale,1.5,1.92,0,1
FC Artmedia Bratislava,Futebol Clube do Porto,1.5,2.02,0,0
FC Arsenal,FC Thun,1.94,1.4,2,1
FC Arsenal,AFC Ajax,1.94,1.48,0,0
FC Arsenal,Real Madrid CF,1.94,2.01,0,0
FC Arsenal,AC Sparta Praga,1.94,1.9,3,0
FC Arsenal,Juventus FC,1.94,1.85,2,0
FC Arsenal,FC Villarreal,1.94,1.55,1,0
Rosenborg BK,Real Madrid CF,1.45,2.01,0,2
Rosenborg BK,Olympique Lyon,1.45,1.71,0,1
Rosenborg BK,Olympiacos Pireu,1.45,1.53,1,1
Udinese Calcio,Panathinaikos Atenas,1.57,1.84,3,0
Udinese Calcio,FC Barcelona,1.57,2.14,0,2
Udinese Calcio,Werder Bremen,1.57,1.72,1,1
Fenerbahce,Schalke 04,1.69,2.04,3,3
Fenerbahce,PSV Eindhoven,1.69,1.6,3,0
Fenerbahce,AC Milan,1.69,1.54,0,4
FC Liverpool,Real Bétis,1.87,1.69,0,0
FC Liverpool,RSC Anderlecht,1.87,1.74,3,0
FC Liverpool,Sport Lisboa e Benfica,1.87,1.92,0,2
FC Liverpool,Chelsea FC,1.87,1.68,0,0
LOSC Lille,Sport Lisboa e Benfica,1.93,1.92,0,0
LOSC Lille,FC Villarreal,1.93,1.55,0,0
LOSC Lille,Manchester United FC,1.93,2.09,1,0
Sport Lisboa e Benfica,FC Villarreal,1.92,1.55,0,1
Sport Lisboa e Benfica,FC Barcelona,1.92,2.14,0,0
Sport Lisboa e Benfica,FC Liverpool,1.92,1.87,1,0
Sport Lisboa e Benfica,LOSC Lille,1.92,1.93,1,0
Sport Lisboa e Benfica,Manchester United FC,1.92,2.09,2,1
AC Milan,PSV Eindhoven,1.54,1.6,0,0
AC Milan,Fenerbahce,1.54,1.69,3,1
AC Milan,Schalke 04,1.54,2.04,3,2
AC Milan,Olympique Lyon,1.54,1.71,3,1
AC Milan,FC Barcelona,1.54,2.14,0,1
AC Milan,FC Bayern Munique,1.54,1.93,4,1
FC Bayern Munique,Rapid de Viena,1.93,1.72,4,0
FC Bayern Munique,AC Milan,1.93,1.54,1,1
FC Bayern Munique,Juventus FC,1.93,1.85,2,1
FC Bayern Munique,Club Brugge,1.93,1.69,1,0
Rapid de Viena,Club Brugge,1.72,1.69,0,1
Rapid de Viena,Juventus FC,1.72,1.85,1,3
Rapid de Viena,FC Bayern Munique,1.72,1.93,0,1
Panathinaikos Atenas,Werder Bremen,1.84,1.72,2,1
Panathinaikos Atenas,Udinese Calcio,1.84,1.57,1,2
Panathinaikos Atenas,FC Barcelona,1.84,2.14,0,0
Schalke 04,PSV Eindhoven,2.04,1.6,3,0
